id	email	jobfamily	job	score	mbti
1	ISFJ0@naver.com	1000	1010	4	ISFJ
2	ENTP4@naver.com	1000	1010	5	ENTP
3	ENTP4@naver.com	1000	1010	5	ENTP
4	ISFJ15@naver.com	1000	1010	2	ISFJ
5	ISFJ15@naver.com	1000	1010	3	ISFJ
6	INFP16@naver.com	1000	1010	5	INFP
7	ESFJ18@naver.com	1000	1010	5	ESFJ
8	INFP23@naver.com	1000	1010	3	INFP
9	ISTJ24@naver.com	1000	1010	4	ISTJ
10	ESTJ41@naver.com	1000	1010	4	ESTJ
11	ENTJ43@naver.com	1000	1010	3	ENTJ
12	ENTJ43@naver.com	1000	1010	3	ENTJ
13	ESFP45@naver.com	1000	1010	4	ESFP
14	ESFP46@naver.com	1000	1010	3	ESFP
15	ENTP55@naver.com	1000	1010	5	ENTP
16	ESTP66@naver.com	1000	1010	2	ESTP
17	ISFJ71@naver.com	1000	1010	1	ISFJ
18	ESFJ73@naver.com	1000	1010	2	ESFJ
19	ESFJ73@naver.com	1000	1010	2	ESFJ
20	ENFP75@naver.com	1000	1010	5	ENFP
21	ISTJ77@naver.com	1000	1010	4	ISTJ
22	ISFP80@naver.com	1000	1010	2	ISFP
23	ISFP84@naver.com	1000	1010	5	ISFP
24	ISFP98@naver.com	1000	1010	3	ISFP
25	ISTP101@naver.com	1000	1010	3	ISTP
26	ISFJ104@naver.com	1000	1010	1	ISFJ
27	ISTP105@naver.com	1000	1010	4	ISTP
28	INTJ116@naver.com	1000	1010	5	INTJ
29	ENFP117@naver.com	1000	1010	4	ENFP
30	ESTP130@naver.com	1000	1010	4	ESTP
31	ESTP130@naver.com	1000	1010	4	ESTP
32	ESTP130@naver.com	1000	1010	4	ESTP
33	ISFP134@naver.com	1000	1010	4	ISFP
34	INFP136@naver.com	1000	1010	3	INFP
35	ESFJ137@naver.com	1000	1010	2	ESFJ
36	ESFP140@naver.com	1000	1010	3	ESFP
37	ISFP141@naver.com	1000	1010	3	ISFP
38	ISFP141@naver.com	1000	1010	3	ISFP
39	INFP144@naver.com	1000	1010	2	INFP
